site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
Slough Pond Site (19-BN-658),41.739000,-70.068000,medium,300,MA,Brewster,"Vol. 54, No. 1 (1993)",4500,Knoll above Slough Pond ~1.5 mi S of coast,
Mattaquason Purchase Site,41.699500,-69.980000,medium,400,MA,Chatham,"Vol. 39, No. 1 (1978)",3185,M48N6; 1977 location map: head of Frost Fish Creek by Rt 28 on RCA land near Ryder's Cove,v3: revised in map pass
Hayward's Portanimicutt Site (19-BN-324),41.708000,-69.999000,weak,700,MA,Chatham/Harwich,"Vol. 43, No. 1 (1982)",3454,Garden on N edge of high marsh; springs ~200 m W,
Micah Ralph Site (M-47-5),41.707000,-70.002000,weak,800,MA,Harwich,"Vol. 19, No. 4 (1958)",1704,"Askaonkton, N bank of old Monomoyick River, E Harwich",
Sandy Neck Shell Heaps,41.722000,-70.320000,medium,800,MA,Barnstable,"Vol. 10, No. 1 (1948)",760,S side of Sandy Neck near salt marsh ~2 mi W of Sandy Neck Light,
Willowbend Site,41.619000,-70.445000,weak,700,MA,Mashpee,"Vol. 58, No. 1 (1997)",4839,Willowbend development,
Bass River Sites,41.680000,-70.185000,weak,3000,MA,Dennis,"Vol. 19, No. 1 (1957)",1645,Many sites along the Bass River,
Hughes Site (part of M-52/23),41.269000,-70.160000,weak,700,MA,Nantucket,"Vol. 10, No. 1 (1948)",760,High knoll dropping to E shore of Long Pond,
Squam Pond Site,41.310000,-69.988000,medium,400,MA,Nantucket,"Vol. 8, No. 4 (1947)",648,"N side of Squam Pond, below Squam Head",
Herrecater Swamp Site,41.303000,-69.995000,weak,600,MA,Nantucket,"Vol. 10, No. 4 (1949)",853,"Squam area, NE Nantucket",
Quidnet Site (M52/65),41.296000,-69.980000,medium,300,MA,Nantucket,"Vol. 47, No. 2 (1986)",3904,"Shell midden on small freshwater pond ~0.3 km W of Sesachacha Pond, 0.8 km inland",
Ram Pasture Site,41.260000,-70.142000,medium,600,MA,Nantucket,"Vol. 25, Nos 3 & 4 (1964)",2181,Near shore of Hummock Pond,
Quaise Site,41.280000,-70.040000,weak,800,MA,Nantucket,"Vol. 51, No. 2 (1990)",4254,Quaise,
Folger's Marsh Site,41.290000,-70.055000,weak,1000,MA,Nantucket,"Vol. 81, Nos. 1 & 2 (2020)",6878,Folger's Marsh,
Lagoon Pond (Norton) Site,41.424000,-70.587000,weak,600,MA,Tisbury,"Vol. 80, Nos 1 & 2 (2019)",6738,Head (south end) of Lagoon Pond,
Cunningham Site,41.438000,-70.598000,weak,700,MA,Tisbury,"Vol. 47, No. 1 (1986)",3870,W shore of Lagoon Pond,
Nashaquitsa Site,41.344500,-70.754000,medium,400,MA,Chilmark,"Vol. 83, Nos. 1 & 2 (2022)",7019,Nashaquitsa Pond; matches Ritchie's Howland No.1 site (19-DK-57),v4: revised in figure pass
McDermott Site,41.425000,-70.554000,medium,400,MA,Oak Bluffs,"Vol. 80, Nos 1 & 2 (2019)",6789,"N side of Major's Cove (Sengekontacket Pond), S of Oak Bluffs, N of Ocean Heights; County Rd to W",v3: revised in map pass
Lucy Vincent Beach Site (19-DK-148),41.339000,-70.714000,medium,400,MA,Chilmark,"Vol. 63, Nos. 1 & 2 (2002)",5329,Lucy Vincent Beach,
Hornblower II Site,41.335000,-70.782000,weak,1000,MA,Aquinnah/Chilmark,"Vol. 80, Nos 1 & 2 (2019)",6771,"2019 MV site map: W side of Squibnocket Pond area, opening onto Atlantic shore",v3: revised in map pass
Frisby-Butler Site,41.329000,-70.758000,weak,1000,MA,Chilmark,"Vol. 80, Nos 1 & 2 (2019)",6771,2019 MV site map: south shore just E of Squibnocket Pond,v3: revised in map pass
Neville Site,42.998500,-71.466500,medium,250,NH,Manchester,"Vol. 38, Nos. 1 & 2 (1976)",3075,E bank of Merrimack at Amoskeag Falls,
Beaver Meadow Brook Site,43.252000,-71.519000,medium,500,NH,Concord,"Vol. 76, No. 1 (2015)",6439,West bank at Sewall's Falls,
Whipple Site,42.870000,-72.280000,weak,3000,NH,Swanzey,"Vol. 50, No. 2 (1989)",4169,Town only,
Hunt's Island Site,42.895000,-70.820000,weak,1000,NH,Hampton,"Vol. 79, No. 2 (2018)",6843,Hampton Harbor,
Rocks Road (Seabrook Station) Site,42.897000,-70.848000,weak,1000,NH,Seabrook,"Vol. 78, No. 1 (2017)",6633,Seabrook Station,
Keene-Hayes Site,44.089000,-70.228000,medium,500,ME,Auburn,"Vol. 63, Nos. 1 & 2 (2002)",5321,1798 Bullen map note: W of junction of Great and Little Androscoggin Rivers,v4: revised in figure pass
Twin Rivers Site,41.857000,-71.442000,medium,400,RI,Lincoln,"Vol. 14, No 1 (1952)",1134,Point on N shore of Wenscott Reservoir bordered on W by West River,
Oaklawn Steatite Quarry,41.776500,-71.499000,medium,700,RI,Cranston,"Vol. 30, No. 2 (1969)",2532,"1968 location map, NW of the confluence on Church Brook",v4: revised in figure pass
Arnold Spring Rock Shelter,41.771800,-71.484500,medium,600,RI,Cranston,"Vol. 30, No. 2 (1969)",2532,Same knoll at the three-brook confluence (1968 map),v4: revised in figure pass
Furnace Hill Brook Site,41.771500,-71.484000,medium,600,RI,Cranston,"Vol. 30, No. 2 (1969)",2532,"1968 location map: knoll at confluence of Church, Furnace Hill and Meshanticut Brooks, Oaklawn",v4: revised in figure pass
Church Brook Rock Shelter #1,41.776800,-71.496500,medium,700,RI,Cranston,"Vol. 30, No. 2 (1969)",2532,"1968 location map, just E of Oaklawn quarry",v4: revised in figure pass
Potter Pond Site,41.390000,-71.527000,weak,800,RI,South Kingstown,"Vol. 11, No. 3 (1950)",954,"Chaffee land, Potter Pond",
Sweet-Meadow Brook Site,41.696000,-71.460000,weak,1500,RI,Warwick,"Vol. 18, No. 1 (1956)",1536,Sweet's Meadow brook terrace,
Locust Spring Site,41.697000,-71.458000,weak,1500,RI,Warwick,"Vol. 24, No. 1 (1962)",2032,~1/4 mi upstream from Narragansett Bay; Sweet-Meadow Brook 1/4 mi downstream,
Lambert Farm Site,41.690000,-71.390000,weak,1000,RI,Warwick,"Vol. 54, No. 1 (1993)",4495,"Lambert Farm, Warwick",
Johannis Peninsula Site (RI 1716),41.752000,-71.296000,medium,500,RI,Barrington,"Vol. 82, Nos. 1 & 2 (2021)",6922,"CORRECTED: ~1,000 ft W of Palmer River in New Meadow Neck, Barrington (Fig. 4)",v4: revised in figure pass
Falugo Site,41.703000,-71.255000,weak,800,RI,Bristol/Warren,"Vol. 82, Nos. 1 & 2 (2021)",6922,CORRECTED: Kickamuit River near Bristol Narrows (Fig. 5),v4: revised in figure pass
Christopher Street Site,41.430000,-71.493000,weak,600,RI,Narragansett,"Vol. 62, No. 1 (2001)",5182,~650 m WNW of RI 110 village complex; SE of Silver Lake at upper Point Judith Pond,
Burr's Hill (17th c. Wampanoag burial ground),41.725500,-71.278000,medium,300,RI,Warren,"Vol. 45, No. 1 (1984)",3709,Identified from Warren references; Burr's Hill Park,
Jones Pond Shell Heap,41.808000,-71.348000,weak,1500,RI,East Providence,"Vol. 1, No.2 (1940)",31,Town only,
Ochee Spring Steatite Quarry,41.822000,-71.510000,weak,800,RI,Johnston,"Vol. 82, Nos. 1 & 2 (2021)",6921,"Ochee Spring, Johnston",
Flat River Site,41.690000,-71.600000,weak,3000,RI,Coventry (?),"Vol. 28, No. 2 (1968)",2453,Assumed Flat River (Reservoir) RI; not confirmed,
Ragged Mountain Quarry Shelter,41.930000,-73.020000,weak,1500,CT,Barkhamsted,"Vol. 10, No. 2 (1949)",778,"Side of Ragged Mountain in People's State Forest, base of 80 ft ledges",
Bakerville Stone Bowl Quarry,41.858000,-73.015000,weak,1000,CT,New Hartford,"Vol. 31, Nos. 1 & 2 (1970)",2583,Cotton Mountain ~4 mi S of Winsted,
Lone Pine Site,41.675500,-72.662000,weak,800,CT,Rocky Hill,"Vol. 32, Nos. 1 & 2 (1971)",2666,"Location map: Shipman's Hill traprock ridge by Goff Brook and Rte 91, N Rocky Hill",v4: revised in figure pass
Smith Brook Site,41.710000,-72.600000,weak,3000,CT,Glastonbury,"Vol. 29, Nos 3 & 4 (1968)",2497,Town only,
Obed Heights Rock Shelter,41.300000,-72.370000,weak,600,CT,Old Saybrook,"Vol. 33, nos. 3 & 4 (1972)",2777,"~1,000 ft N of CT Turnpike, 300 ft SW of Obed Heights Reservoir",
Bird Rock Site,40.860000,-73.805000,weak,1500,NY,Bronx (Pelham Bay),"Vol. 65, No. 2 (2004)",5460,Pelham Bay area,
Oakland Lake Site,40.756000,-73.758000,medium,400,NY,Queens (Bayside),"Vol. 9, No 2 & 3 (1948)",724,Oakland Lake,
Taylor Farm - Pasture Locus,41.932000,-70.992700,medium,200,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,"Taylor Farm map site 1, just SE of Pratt's Bridge",v2: added in map pass
Taylor Farm - River Locus,41.932400,-70.995000,medium,200,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,"Taylor Farm map site 2, S bank just W of bridge",v2: added in map pass
Taylor Farm - Orchard Locus (burials),41.930500,-70.996200,medium,250,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,Taylor Farm map site 3,v2: added in map pass
Taylor Farm - Hillside Locus (burials),41.930400,-70.993700,medium,250,MA,Middleborough,"Vol. 43, No. 2 (1982)",3494,"Taylor Farm map site 4, W side of Vernon St",v2: added in map pass
Bassett Knoll Site,41.920000,-70.999000,weak,700,MA,Raynham/Middleborough,"Vol. 71, No. 2 (2010)",6024,1 mile S of Titicut; dated 8480 BP,v2: added in map pass
Titicut Brook Site 1 - Forest Street,41.962000,-70.995000,weak,1000,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6021,W side of Snow's Brook near Forest St,v2: added in map pass
Titicut Brook Site 2 - Cross Street,41.951000,-70.992000,weak,800,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6021,E side of Snow's Brook,v2: added in map pass
Titicut Brook Site 3 - Olde Scotland Links spring,41.942500,-71.001500,weak,500,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6021,Spring exposed during golf course construction,v2: added in map pass
Titicut Brook Site 4 - Auglis Garden,41.939500,-70.996500,weak,500,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6021,Feeder stream crossing Vernon St,v2: added in map pass
Titicut Brook Site 5 - Kravitz Field,41.939000,-70.992500,weak,400,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6021,Between Vernon St and W side of Snow's Brook,v2: added in map pass
Titicut Brook Site 6 - P. Heinz Garden,41.938500,-70.993500,weak,400,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,Probably part of Trites Farm site,v2: added in map pass
Titicut Brook Site 7 - Austin Garden,41.939000,-70.990500,weak,400,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,E side of Snow's Brook,v2: added in map pass
Titicut Brook Site 8 - Brooks Field,41.937200,-70.990500,weak,400,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,N of Green St,v2: added in map pass
Titicut Brook Site 9 - White-Rodgers Garden,41.938500,-70.989500,weak,500,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,N side of Snow's Brook,v2: added in map pass
Titicut Brook Site 10 - Bromley Garden,41.937500,-70.988000,weak,400,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,E side of South St at Snow's Brook mouth; 1740 foundry dam,v2: added in map pass
Titicut Brook Site 11 - Bryant Pasture,41.952000,-70.980000,weak,1000,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,Poor Farm Brook,v2: added in map pass
Titicut Brook Site 12 - Poor Farm Site,41.952000,-70.977000,weak,1000,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,E across South St from Bryant Pasture,v2: added in map pass
Titicut Brook Site 13 - Keith Farm,41.949000,-70.975000,weak,1000,MA,Bridgewater,"Vol. 71, No. 2 (2010)",6023,Poor Farm Brook,v2: added in map pass
Titicut Brook Site 14 - Vernon St at Poquoy Brook,41.917000,-70.988000,weak,1000,MA,Middleborough,"Vol. 71, No. 2 (2010)",6023,W side of Vernon St along Poquoy Brook,v2: added in map pass
Titicut Brook Site 15 - River & Church Streets,41.895000,-71.006000,medium,400,MA,Raynham,"Vol. 71, No. 2 (2010)",6023,Corner of River and Church Sts where Furnace Brook enters the river,v2: added in map pass
Titicut Brook Site 16 - Bassett Brook,41.925000,-71.010000,weak,1000,MA,Raynham,"Vol. 71, No. 2 (2010)",6023,Along Pine St,v2: added in map pass
Titicut Brook Site 17 - Tripp Garden,41.929000,-70.960000,weak,800,MA,Middleborough,"Vol. 71, No. 2 (2010)",6024,N side of Center St opposite head of Puddingshear Brook,v2: added in map pass
Titicut Brook Site 18 - Taylor Brook Site,41.929500,-70.994500,weak,400,MA,Middleborough,"Vol. 71, No. 2 (2010)",6024,W of Vernon St on brook from swamp E of Fort Hill Field,v2: added in map pass
Titicut Brook Site 19 - McCue's Field,41.928800,-70.994500,weak,400,MA,Middleborough,"Vol. 71, No. 2 (2010)",6024,S side of same brook,v2: added in map pass
Sweet's Knoll Area Site 3,41.821900,-71.120300,medium,250,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,Terrace site 3 on 1955 map,v2: added in map pass
Sweet's Knoll Area Site 4,41.822900,-71.119900,medium,250,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,Terrace site 4 on 1955 map,v2: added in map pass
Sweet's Knoll Area Site 5,41.829100,-71.117300,medium,250,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,Terrace site 5 on 1955 map,v2: added in map pass
Sweet's Knoll Area Site 6,41.825500,-71.113800,medium,300,MA,Dighton,"Vol. 16, No. 4 (1955)",1428,Hill site 6 on 1955 map,v2: added in map pass
Fuller's Brook Site,41.833300,-71.278800,medium,400,MA,Rehoboth,"Vol. 78, No. 2 (2017)",6658,2017 topo marker B; S bank of Fuller's Brook ~2.5 km W of Tobey near Summer St,v2: added in map pass
Read Farm Site,41.780600,-71.326900,medium,350,MA/RI,Seekonk/Barrington,"Vol. 78, No. 2 (2017)",6658,2017 topo marker C; E side of Runnins River junction with Hundred Acre Cove,v2: added in map pass
Mouscosuck Creek U-construction Site,41.730100,-71.339600,medium,400,RI,West Barrington,"Vol. 78, No. 2 (2017)",6658,2017 topo marker J; C14 800 and 860 BP,v2: added in map pass
Dighton Syncline U-construction Site (marker K),41.876700,-71.189100,medium,400,MA,Rehoboth/Dighton,"Vol. 78, No. 2 (2017)",6658,2017 topo marker K; one of DTR 1a/1b (NE Rehoboth),v2: added in map pass
Dighton Syncline U-construction Site (marker L),41.891400,-71.198800,medium,400,MA,Rehoboth,"Vol. 78, No. 2 (2017)",6658,2017 topo marker L; one of DTR 1a/1b,v2: added in map pass
Walnut Street U-construction Site,41.838900,-70.875100,medium,400,MA,Middleborough,"Vol. 78, No. 2 (2017)",6658,"2017 topo marker O; high ground between Wapanucket and Rock Village, S of Walnut St",v2: added in map pass
Assawompset Neck Drumlin Site,41.818400,-70.920700,medium,400,MA,Lakeville,"Vol. 78, No. 2 (2017)",6658,2017 topo marker N; drumlin top leveled in 1690,v2: added in map pass
Skug River Site (Martin's Pond),42.607500,-71.080500,medium,300,MA,North Reading,"Vol. 22, No. 3 & 4 (1961)",1919,"~200 yds W of Rt 28, 120 ft E of Martin's Pond, 120 ft S of Skug River",v3: added in map pass
Norumbega Site,42.338000,-71.270000,weak,1000,MA,Weston,"Vol. 81, Nos. 1 & 2 (2020)",6880,"MWRA Norumbega facility project area, Weston",v3: added in map pass
Perry's Shell Heap (Kettle-Hole Site),42.035000,-70.080000,weak,1500,MA,North Truro,"Vol. 74, No. 2 (2013)",6257,"Farm of John Perry, North Truro",v3: added in map pass
Krogh Property Burial Site (19-FR-36),42.538000,-72.596000,weak,1000,MA,Deerfield,"Vol. 52, No. 2 (1991)",4362,Steam Mill Road; high sandy terrace over Deerfield Meadows at foot of Pocumtuck Range,v3: added in map pass
Peach Orchard Site,42.074500,-70.649000,medium,500,MA,Marshfield,"Vol. 62, No. 2 (2001)",5239,Adjacent to Blue Heron at base of Duxbury Beach peninsula,v3: added in map pass
Annisquam Shellfish Site,42.656500,-70.678000,weak,700,MA,Gloucester,"Vol. 74, No. 2 (2013)",6311,Named on 2013 Gloucester site map,v3: added in map pass
Farm Point Shellfish Site,42.652000,-70.690000,weak,700,MA,Gloucester,"Vol. 74, No. 2 (2013)",6311,Named on 2013 Gloucester site map,v3: added in map pass
Coffin Beach Site,42.656000,-70.700500,weak,700,MA,Gloucester,"Vol. 74, No. 2 (2013)",6311,Named on 2013 Gloucester site map,v3: added in map pass
Coles Island Site,42.650500,-70.695000,weak,700,MA,Gloucester,"Vol. 74, No. 2 (2013)",6311,Named on 2013 Gloucester site map,v3: added in map pass
Pearce (Merchant) Island Shellfish Site,42.634000,-70.677000,weak,600,MA,Gloucester,"Vol. 74, No. 2 (2013)",6310,Shellfish processing site in Annisquam River,v3: added in map pass
Rust Island Shellfish Site,42.626500,-70.676500,weak,600,MA,Gloucester,"Vol. 74, No. 2 (2013)",6310,Shellfish processing site in Annisquam River,v3: added in map pass
Riverview (Curtis Cove / Thurston Point) Sites,42.627500,-70.679500,weak,600,MA,Gloucester,"Vol. 74, No. 2 (2013)",6310,"Curtis Cove and Thurston Point, Riverview",v3: added in map pass
Pressons Point Site,42.623000,-70.686000,weak,800,MA,Gloucester,"Vol. 74, No. 2 (2013)",6311,Named on 2013 Gloucester site map,v3: added in map pass
Wheeler's Point Shellfish Site,42.640000,-70.688000,weak,700,MA,Gloucester,"Vol. 74, No. 2 (2013)",6310,Peninsula at junction of Annisquam and Mill Rivers,v3: added in map pass
Hill #1 Site,42.098500,-71.445500,medium,900,MA,Bellingham,"Vol. 61, No. 1 (2000)",5102,"1794 Bellingham plan, E Charles River terrace",v4: added in figure pass
Mantatucket Rock Site,42.466000,-71.352000,medium,400,MA,Concord,"Vol. 45, No. 2 (1984)",3730,"Smith Collection map site C, Concord River below the confluence",v4: added in figure pass
Hosmer's Rocks Site,42.469000,-71.357000,medium,400,MA,Concord,"Vol. 45, No. 2 (1984)",3730,"Smith Collection map site D, at Assabet/Sudbury confluence",v4: added in figure pass
Asparagus Experimental Station Site (19-MD-69),42.466100,-71.325000,medium,600,MA,Concord,"Vol. 45, No. 2 (1984)",3730,"Smith Collection map site B, along Concord River",v4: added in figure pass
Barthel's Farm Site,42.443400,-71.301400,medium,500,MA,Lincoln/Concord,"Vol. 45, No. 2 (1984)",3730,Smith Collection map site K,v4: added in figure pass
Cold Brook Hill Site,42.413500,-71.388000,weak,1000,MA,Sudbury,"Vol. 45, No. 2 (1984)",3730,Smith Collection map site H,v4: added in figure pass
Fife Brook Sites (Deerfield River),42.676000,-72.988000,medium,800,MA,Florida/Rowe,"Vol. 33, Nos. 1 & 2 (1972)",2748,"Map of upper Deerfield River: Fife Brook sites below Fife Brook dam, left of Bear Swamp",v4: added in figure pass
DEDIC Site (Deerfield Industrial Park),42.463000,-72.603000,weak,1000,MA,Deerfield,"Vol. 66, No. 2 (2005)",5561,"South Deerfield industrial park, S edge of Deerfield",v4: added in figure pass
Purcell Site,41.656000,-70.240000,weak,1000,MA,Yarmouth,"Vol. 35, No. 3 & 4 (1974)",2923,"Report gives street address 76 Pine Cone Drive, West Yarmouth - geocode that address for a better pin",v4: added in figure pass
Chilmark Ceramic Vessel Find (Abel's Hill),41.345000,-70.715000,medium,400,MA,Chilmark,"Vol. 46, No. 1 (1985)",3761,Abel's Hill just S of South Road,v4: added in figure pass
Lake Cochituate Basketry Find,42.305000,-71.368000,weak,1500,MA,Natick/Wayland,"Vol. 48, No. 1 (1987)",3939,Lake Cochituate shoreline,v4: added in figure pass
White's Island (Wamsutta's hunting house),42.006000,-70.844000,medium,400,MA,Halifax,"Vol. 55, No. 1 (1994)",4604,White's Island in Monponsett Pond (Fig. 2),v4: added in figure pass
Pembroke Native Wigwam/House Sites (1823-78),42.052000,-70.826000,weak,1200,MA,Pembroke,"Vol. 57, No. 1 (1996)",4774,Six historic Native households around Oldham and Furnace Ponds on 1879 map,v4: added in figure pass
Conklin Jasper Quarry (RI 1935),41.915000,-71.425000,weak,1500,RI,Lincoln,"Vol. 60, No. 1 (1999)",5026,Town location map,v4: added in figure pass
Sandy Neck Traverse Stations 1-9,41.729000,-70.340000,weak,3500,MA,Barnstable,"Vol. 28, No. 2 (1967)",2375,Nine stations spread between Bodfish Park and the lighthouse (1965 map),v4: added in figure pass
Acosta Street Burial,41.080000,-73.550000,weak,2000,CT,Stamford,"Vol. 23, No. 2 (1962)",1975,"Map of burial area, Stamford",v4: added in figure pass
Waterford Pot Recovery (Niantic River),41.345000,-72.160000,weak,1500,CT,Waterford,"Vol. 34, Nos. 3 & 4 (1973)",2847,Rock cavity on upper Niantic River,v4: added in figure pass
Randolph Bear Swamp Site (M35NE26),42.165000,-71.060000,weak,2000,MA,Randolph,"Vol. 39, No. 2 (1978)",3230,"Border of Bear Swamp, Randolph",v4: added in figure pass
Bogastowe Farms Site,42.145000,-71.350000,weak,700,MA,Millis/Medfield,"Vol. 77, No. 1 (2016)",6523,Near South End Pond on SW Medfield USGS quad,v4: added in figure pass
Essex Bay Islands Localities,42.659000,-70.775000,weak,2000,MA,Essex,"Vol. 79, No. 1 (2018)",6714,"Hog, Cross and other Essex Bay islands (Fig. 9)",v4: added in figure pass
MHC recon: Winnecunnet Pond site cluster,41.965000,-71.147000,weak,900,MA,Norton,MHC Reconnaissance Survey Town Report: Norton (1981),,Two large and several smaller Native sites around Winnecunnet Pond; area reputedly used by the Pokanokets before King Philip's War,v5: added from MHC town report
